food_name,data_type
"Egg custards, dry mix",SR Legacy
"Egg custards, dry mix, prepared with 2% milk",SR Legacy
"Egg custards, dry mix, prepared with whole milk",SR Legacy
"Egg foo yung, NFS",Survey (FNDDS)
"Egg omelet or scrambled egg, from fast food / restaurant",Survey (FNDDS)
"Egg omelet or scrambled egg, made with animal fat or meat drippings",Survey (FNDDS)
"Egg omelet or scrambled egg, made with butter",Survey (FNDDS)
"Egg omelet or scrambled egg, made with cooking spray",Survey (FNDDS)
"Egg omelet or scrambled egg, made with margarine",Survey (FNDDS)
"Egg omelet or scrambled egg, made with oil",Survey (FNDDS)
"Egg omelet or scrambled egg, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, NS as to fat type",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and dark-green vegetables, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and dark-green vegetables, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and dark-green vegetables, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and meat, made with animal fat or meat drippings",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and meat, made with butter",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and meat, made with cooking spray",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and meat, made with margarine",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and meat, made with oil",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and meat, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and meat, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and meat, NS as to fat type",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and tomatoes, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and tomatoes, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and tomatoes, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, made with animal fat or meat drippings",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, made with butter",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, made with cooking spray",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, made with margarine",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, made with oil",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, meat, and tomatoes, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, meat, and tomatoes, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, meat, and tomatoes, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with dark-green vegetables, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with dark-green vegetables, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with dark-green vegetables, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat and dark-green vegetables, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat and dark-green vegetables, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat and dark-green vegetables, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat and tomatoes, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat and tomatoes, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat and tomatoes, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat, made with butter",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat, made with cooking spray",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat, made with margarine",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat, made with oil",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat, NS as to fat type",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with potatoes and/or onions, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with potatoes and/or onions, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with potatoes and/or onions, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, no fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with tomatoes, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with tomatoes, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with tomatoes, NS as to fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, fat added",Survey (FNDDS)
"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, no added fat",Survey (FNDDS)
"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, NS as to fat",Survey (FNDDS)
"Egg roll, meatless",Survey (FNDDS)
"Egg roll, with beef and/or pork",Survey (FNDDS)
"Egg roll, with chicken or turkey",Survey (FNDDS)
"Egg roll, with shrimp",Survey (FNDDS)
"Egg rolls, chicken, refrigerated, heated",SR Legacy
"Egg rolls, pork, refrigerated, heated",SR Legacy
"Egg rolls, vegetable, frozen, prepared",SR Legacy
Egg salad sandwich on wheat,Survey (FNDDS)
Egg salad sandwich on white,Survey (FNDDS)
"Egg Salad, made with any type of fat free dressing",Survey (FNDDS)
"Egg salad, made with creamy dressing",Survey (FNDDS)
"Egg salad, made with Italian dressing",Survey (FNDDS)
"Egg salad, made with light creamy dressing",Survey (FNDDS)
"Egg salad, made with light Italian dressing",Survey (FNDDS)
"Egg salad, made with light mayonnaise",Survey (FNDDS)
"Egg salad, made with light mayonnaise-type salad dressing",Survey (FNDDS)
"Egg salad, made with mayonnaise",Survey (FNDDS)
"Egg salad, made with mayonnaise-type salad dressing",Survey (FNDDS)
Egg sandwich on bagel,Survey (FNDDS)
"Egg sandwich on bagel, with bacon",Survey (FNDDS)
"Egg sandwich on bagel, with ham",Survey (FNDDS)
"Egg sandwich on bagel, with sausage",Survey (FNDDS)
Egg sandwich on biscuit,Survey (FNDDS)
"Egg sandwich on biscuit, with bacon",Survey (FNDDS)
"Egg sandwich on biscuit, with bacon and cheese",Survey (FNDDS)
"Egg sandwich on biscuit, with sausage",Survey (FNDDS)
"Egg sandwich on biscuit, with sausage and cheese",Survey (FNDDS)
Egg sandwich on croissant,Survey (FNDDS)
"Egg sandwich on croissant, with bacon",Survey (FNDDS)
"Egg sandwich on croissant, with ham",Survey (FNDDS)
"Egg sandwich on croissant, with sausage",Survey (FNDDS)
Egg sandwich on English muffin,Survey (FNDDS)
"Egg sandwich on English muffin, with bacon",Survey (FNDDS)
"Egg sandwich on English muffin, with ham",Survey (FNDDS)
"Egg sandwich on English muffin, with sausage",Survey (FNDDS)
Egg sandwich on griddle/pancake,Survey (FNDDS)
"Egg sandwich on griddle/pancake, with meat",Survey (FNDDS)
Egg sandwich on wheat bread,Survey (FNDDS)
"Egg sandwich on wheat bread, with cheese",Survey (FNDDS)
"Egg sandwich on wheat bread, with meat",Survey (FNDDS)
"Egg sandwich on wheat bread, with meat and cheese",Survey (FNDDS)
Egg sandwich on white bread,Survey (FNDDS)
"Egg sandwich on white bread, with cheese",Survey (FNDDS)
"Egg sandwich on white bread, with meat",Survey (FNDDS)
"Egg sandwich on white bread, with meat and cheese",Survey (FNDDS)
"Egg substitute, liquid or frozen, fat free",SR Legacy
"Egg substitute, omelet, scrambled, or fried, fat added",Survey (FNDDS)
"Egg substitute, omelet, scrambled, or fried, no added fat",Survey (FNDDS)
"Egg substitute, omelet, scrambled, or fried, with cheese",Survey (FNDDS)
"Egg substitute, omelet, scrambled, or fried, with cheese and meat",Survey (FNDDS)
"Egg substitute, omelet, scrambled, or fried, with cheese and vegetables",Survey (FNDDS)
"Egg substitute, omelet, scrambled, or fried, with cheese, meat, and vegetables",Survey (FNDDS)
"Egg substitute, omelet, scrambled, or fried, with meat",Survey (FNDDS)
"Egg substitute, omelet, scrambled, or fried, with meat and vegetables",Survey (FNDDS)
"Egg substitute, omelet, scrambled, or fried, with vegetables",Survey (FNDDS)
"Egg substitute, powder",SR Legacy
"Egg white omelet, scrambled, or fried, made with butter",Survey (FNDDS)
"Egg white omelet, scrambled, or fried, made with cooking spray",Survey (FNDDS)
"Egg white omelet, scrambled, or fried, made with margarine",Survey (FNDDS)
"Egg white omelet, scrambled, or fried, made with oil",Survey (FNDDS)
"Egg white omelet, scrambled, or fried, no added fat",Survey (FNDDS)
"Egg white omelet, scrambled, or fried, NS as to fat",Survey (FNDDS)
"Egg white omelet, scrambled, or fried, NS as to fat type",Survey (FNDDS)
Egg white sandwich,Survey (FNDDS)
"Egg white sandwich, with cheese",Survey (FNDDS)
"Egg white sandwich, with meat",Survey (FNDDS)
"Egg white, omelet, scrambled, or fried, with cheese",Survey (FNDDS)
"Egg white, omelet, scrambled, or fried, with cheese and meat",Survey (FNDDS)
"Egg white, omelet, scrambled, or fried, with cheese and vegetables",Survey (FNDDS)
"Egg white, omelet, scrambled, or fried, with cheese, meat, and vegetables",Survey (FNDDS)
"Egg white, omelet, scrambled, or fried, with meat",Survey (FNDDS)
"Egg white, omelet, scrambled, or fried, with meat and vegetables",Survey (FNDDS)
"Egg white, omelet, scrambled, or fried, with vegetables",Survey (FNDDS)
"Egg, Benedict",Survey (FNDDS)
"Egg, creamed",Survey (FNDDS)
"Egg, deviled",Survey (FNDDS)
"Egg, duck, whole, fresh, raw",SR Legacy
"Egg, goose, whole, fresh, raw",SR Legacy
"Egg, quail, whole, fresh, raw",SR Legacy
"Egg, turkey, whole, fresh, raw",SR Legacy
"Egg, white only, raw",Survey (FNDDS)
"Egg, white, cooked, fat added",Survey (FNDDS)
"Egg, white, cooked, no added fat",Survey (FNDDS)
"Egg, white, cooked, NS as to fat",Survey (FNDDS)
"Egg, white, dried",Foundation
"Egg, white, dried",SR Legacy
"Egg, white, dried, flakes, stabilized, glucose reduced",SR Legacy
"Egg, white, dried, powder, stabilized, glucose reduced",SR Legacy
"Egg, white, dried, stabilized, glucose reduced",SR Legacy
"Egg, white, raw, fresh",SR Legacy
"Egg, white, raw, frozen, pasteurized",SR Legacy
"Egg, white, raw, frozen, pasteurized",Foundation
"Egg, whole, baked, fat added",Survey (FNDDS)
"Egg, whole, baked, no added fat",Survey (FNDDS)
"Egg, whole, baked, NS as to fat",Survey (FNDDS)
"Egg, whole, boiled or poached",Survey (FNDDS)
"Egg, whole, cooked, fried",SR Legacy
"Egg, whole, cooked, hard-boiled",SR Legacy
"Egg, whole, cooked, NS as to cooking method",Survey (FNDDS)
"Egg, whole, cooked, omelet",SR Legacy
"Egg, whole, cooked, poached",SR Legacy
"Egg, whole, cooked, scrambled",SR Legacy
"Egg, whole, dried",SR Legacy
"Egg, whole, dried",Foundation
"Egg, whole, dried, stabilized, glucose reduced",SR Legacy
"Egg, whole, fried no added fat",Survey (FNDDS)
"Egg, whole, fried with animal fat or meat drippings",Survey (FNDDS)
"Egg, whole, fried with butter",Survey (FNDDS)
"Egg, whole, fried with cooking spray",Survey (FNDDS)
"Egg, whole, fried with margarine",Survey (FNDDS)
"Egg, whole, fried with oil",Survey (FNDDS)
"Egg, whole, fried, from fast food / restaurant",Survey (FNDDS)
"Egg, whole, fried, NS as to fat",Survey (FNDDS)
"Egg, whole, fried, NS as to fat type",Survey (FNDDS)
"Egg, whole, pickled",Survey (FNDDS)
"Egg, whole, raw",Survey (FNDDS)
"Egg, whole, raw, fresh",SR Legacy
"Egg, whole, raw, frozen, pasteurized",Foundation
"Egg, whole, raw, frozen, pasteurized (Includes foods for USDA's Food Distribution Program)",SR Legacy
"Egg, whole, raw, frozen, salted, pasteurized",SR Legacy
"Egg, yolk only, cooked, fat added",Survey (FNDDS)
"Egg, yolk only, cooked, no added fat",Survey (FNDDS)
"Egg, yolk only, cooked, NS as to fat",Survey (FNDDS)
"Egg, yolk only, raw",Survey (FNDDS)
"Egg, yolk, dried",SR Legacy
"Egg, yolk, dried",Foundation
"Egg, yolk, raw, fresh",SR Legacy
"Egg, yolk, raw, frozen, pasteurized",Foundation
"Egg, yolk, raw, frozen, pasteurized",SR Legacy
"Egg, yolk, raw, frozen, salted, pasteurized",SR Legacy
"Egg, yolk, raw, frozen, sugared, pasteurized",SR Legacy
Eggnog,Survey (FNDDS)
Eggnog,SR Legacy
"Eggnog, alcoholic",Survey (FNDDS)
Eggplant and meat casserole,Survey (FNDDS)
Eggplant dip,Survey (FNDDS)
"Eggplant parmesan casserole, regular",Survey (FNDDS)
Eggplant with cheese and tomato sauce,Survey (FNDDS)
"Eggplant, cooked, as ingredient",Survey (FNDDS)
"Eggplant, cooked, boiled, drained, with salt",SR Legacy
"Eggplant, cooked, boiled, drained, without salt",SR Legacy
"Eggplant, cooked, fat added",Survey (FNDDS)
"Eggplant, cooked, no added fat",Survey (FNDDS)
"Eggplant, pickled",SR Legacy
"Eggplant, pickled",Survey (FNDDS)
"Eggplant, raw",Survey (FNDDS)
"Eggplant, raw",SR Legacy
"Eggplant, raw",Foundation
"Eggs, Grade A, Large, egg white",Foundation
"Eggs, Grade A, Large, egg whole",Foundation
"Eggs, Grade A, Large, egg yolk",Foundation
"Eggs, scrambled, frozen mixture",SR Legacy
"Einkorn, grain, dry, raw",Foundation
"Elderberries, raw",SR Legacy
"Elk, free range, ground, cooked patties (Shoshone Bannock)",SR Legacy
"Elk, free range, ground, raw (Shoshone Bannock)",SR Legacy
"Elk, free range, roast, eye of round, cooked (Shoshone Bannock)",SR Legacy
"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",SR Legacy
"Empanada, beef",Survey (FNDDS)
"Empanada, beef, with vegetables",Survey (FNDDS)
"Empanada, chicken",Survey (FNDDS)
"Empanada, chicken, with vegetables",Survey (FNDDS)
"Empanada, fruit",Survey (FNDDS)
"Empanada, NFS",Survey (FNDDS)
"Empanada, no meat",Survey (FNDDS)
"Emu, fan fillet, cooked, broiled",SR Legacy
"Emu, fan fillet, raw",SR Legacy
"Emu, flat fillet, raw",SR Legacy
"Emu, full rump, cooked, broiled",SR Legacy
"Emu, full rump, raw",SR Legacy
"Emu, ground, cooked, pan-broiled",SR Legacy
"Emu, ground, raw",SR Legacy
"Emu, inside drum, raw",SR Legacy
"Emu, inside drums, cooked, broiled",SR Legacy
"Emu, outside drum, raw",SR Legacy
"Emu, oyster, raw",SR Legacy
"Emu, top loin, cooked, broiled",SR Legacy
"Enchilada sauce, green",Survey (FNDDS)
"Enchilada sauce, red",Survey (FNDDS)
"Enchilada, beef",Survey (FNDDS)
"Enchilada, chicken",Survey (FNDDS)
"Enchilada, NFS",Survey (FNDDS)
"Enchilada, no meat",Survey (FNDDS)
"Enchilada, pork",Survey (FNDDS)
"Endive, raw",SR Legacy
Energy Drink,Survey (FNDDS)
Energy drink (Full Throttle),Survey (FNDDS)
Energy drink (Monster),Survey (FNDDS)
Energy drink (Mountain Dew AMP),Survey (FNDDS)
Energy drink (No Fear Motherload),Survey (FNDDS)
Energy drink (No Fear),Survey (FNDDS)
Energy drink (NOS),Survey (FNDDS)
Energy drink (Ocean Spray Cran-Energy Juice Drink),Survey (FNDDS)
Energy drink (Red Bull),Survey (FNDDS)
Energy drink (Rockstar),Survey (FNDDS)
Energy drink (SoBe Energize Energy Juice Drink),Survey (FNDDS)
Energy drink (Vault),Survey (FNDDS)
Energy drink (XS Gold Plus),Survey (FNDDS)
Energy drink (XS),Survey (FNDDS)
"Energy drink, low calorie (Monster)",Survey (FNDDS)
"Energy drink, sugar free",Survey (FNDDS)
"Energy drink, sugar free (Monster)",Survey (FNDDS)
"Energy drink, sugar free (Mountain Dew AMP)",Survey (FNDDS)
"Energy drink, sugar free (No Fear)",Survey (FNDDS)
"Energy drink, sugar free (Rockstar)",Survey (FNDDS)
"Energy drink, sugar free (Vault)",Survey (FNDDS)
"Energy drink, sugar-free (NOS)",Survey (FNDDS)
"Energy drink, sugar-free (Red Bull)",Survey (FNDDS)
"English muffins, plain, enriched, without calcium propionate(includes sourdough)",SR Legacy
"English muffins, plain, unenriched, with calcium propionate (includes sourdough)",SR Legacy
"English muffins, plain, unenriched, without calcium propionate (includes sourdough)",SR Legacy
"English muffins, whole grain white",SR Legacy
"Epazote, raw",SR Legacy
"Eppaw, raw",SR Legacy
Escargot,Survey (FNDDS)
"Escarole, cooked",Survey (FNDDS)
"Escarole, cooked, boiled, drained, no salt added",SR Legacy
"Fajita, beef or pork",Survey (FNDDS)
"Fajita, chicken",Survey (FNDDS)
"Fajita, NFS",Survey (FNDDS)
"Fajita, shrimp",Survey (FNDDS)
"Fajita, vegetable",Survey (FNDDS)
Falafel,Survey (FNDDS)
Falafel sandwich,Survey (FNDDS)
"Falafel, home-prepared",SR Legacy
"Farro, pearled, dry, raw",Foundation
"Fast food, biscuit",SR Legacy
"Fast Food, Pizza Chain, 14"" pizza, cheese topping, regular crust",SR Legacy
"Fast Food, Pizza Chain, 14"" pizza, cheese topping, stuffed crust",SR Legacy
"Fast Food, Pizza Chain, 14"" pizza, cheese topping, thick crust",SR Legacy
"Fast Food, Pizza Chain, 14"" pizza, cheese topping, thin crust",SR Legacy
"Fast Food, Pizza Chain, 14"" pizza, meat and vegetable topping, regular crust",SR Legacy
"Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, regular crust",SR Legacy
"Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, thick crust",SR Legacy
"Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, thin crust",SR Legacy
"Fast Food, Pizza Chain, 14"" pizza, sausage topping, regular crust",SR Legacy
"Fast Food, Pizza Chain, 14"" pizza, sausage topping, thick crust",SR Legacy
"Fast Food, Pizza Chain, 14"" pizza, sausage topping, thin crust",SR Legacy
"Fast foods, bagel, with breakfast steak, egg, cheese, and condiments",SR Legacy
"Fast foods, bagel, with egg, sausage patty, cheese, and condiments",SR Legacy
"Fast foods, biscuit, with crispy chicken fillet",SR Legacy
"Fast foods, biscuit, with egg and bacon",SR Legacy
"Fast foods, biscuit, with egg and ham",SR Legacy
"Fast Foods, biscuit, with egg and sausage",SR Legacy
"Fast foods, biscuit, with egg, cheese, and bacon",SR Legacy
"Fast foods, biscuit, with ham",SR Legacy
"Fast foods, biscuit, with sausage",SR Legacy
"Fast foods, breadstick, soft, prepared with garlic and parmesan cheese",SR Legacy
"Fast foods, breakfast burrito, with egg, cheese, and sausage",SR Legacy
"Fast foods, burrito, with beans",SR Legacy
"Fast foods, burrito, with beans and beef",SR Legacy
"Fast foods, burrito, with beans and cheese",SR Legacy
"Fast foods, burrito, with beans, cheese, and beef",SR Legacy
"Fast foods, cheeseburger, double, regular patty and bun, with condiments",SR Legacy
"Fast foods, cheeseburger; double, large patty; with condiments",SR Legacy
"Fast Foods, cheeseburger; double, large patty; with condiments, vegetables and mayonnaise",SR Legacy
"Fast foods, cheeseburger; double, regular patty; double decker bun with condiments and special sauce",SR Legacy
"Fast foods, cheeseburger; double, regular patty; with condiments",SR Legacy
"Fast foods, cheeseburger; single, large patty; plain",SR Legacy
"Fast foods, cheeseburger; single, large patty; with condiments",SR Legacy
"Fast foods, cheeseburger; single, large patty; with condiments, vegetables and mayonnaise",SR Legacy
"Fast foods, cheeseburger; single, regular patty, with condiments",SR Legacy
"Fast foods, cheeseburger; single, regular patty, with condiments and vegetables",SR Legacy
"Fast foods, cheeseburger; single, regular patty; plain",SR Legacy
"Fast foods, chicken fillet sandwich, plain with pickles",SR Legacy
"Fast foods, chicken tenders",SR Legacy
"Fast foods, chicken, breaded and fried, boneless pieces, plain",SR Legacy
"Fast foods, coleslaw",SR Legacy
"Fast Foods, crispy chicken filet sandwich, with lettuce and mayonnaise",SR Legacy
"Fast foods, crispy chicken in tortilla, with lettuce, cheese, and ranch sauce",SR Legacy
"Fast foods, crispy chicken, bacon, and tomato club sandwich, with cheese, lettuce, and mayonnaise",SR Legacy
"Fast foods, croissant, with egg, cheese, and bacon",SR Legacy
"Fast foods, croissant, with egg, cheese, and ham",SR Legacy
"Fast foods, croissant, with egg, cheese, and sausage",SR Legacy
"Fast foods, egg, scrambled",SR Legacy
"Fast foods, english muffin, with cheese and sausage",SR Legacy
"Fast foods, english muffin, with egg, cheese, and canadian bacon",SR Legacy
"Fast foods, english muffin, with egg, cheese, and sausage",SR Legacy
"Fast foods, fish sandwich, with tartar sauce",SR Legacy
"Fast foods, fish sandwich, with tartar sauce and cheese",SR Legacy
"Fast foods, french toast sticks",SR Legacy
"Fast Foods, Fried Chicken, Breast, meat and skin and breading",SR Legacy
"Fast Foods, Fried Chicken, Breast, meat only, skin and breading removed",SR Legacy
"Fast Foods, Fried Chicken, Drumstick, meat and skin with breading",SR Legacy
"Fast Foods, Fried Chicken, Drumstick, meat only, skin and breading removed",SR Legacy
"Fast Foods, Fried Chicken, Skin and breading from all pieces",SR Legacy
"Fast Foods, Fried Chicken, Thigh, meat and skin and breading",SR Legacy
"Fast Foods, Fried Chicken, Thigh, meat only, skin and breading removed",SR Legacy
"Fast Foods, Fried Chicken, Wing, meat and skin and breading",SR Legacy
"Fast Foods, Fried Chicken, Wing, meat only, skin and breading removed",SR Legacy
"Fast foods, griddle cake sandwich, egg, cheese, and bacon",SR Legacy
"Fast foods, griddle cake sandwich, egg, cheese, and sausage",SR Legacy
"Fast foods, griddle cake sandwich, sausage",SR Legacy
"Fast Foods, grilled chicken filet sandwich, with lettuce, tomato and spread",SR Legacy
"Fast foods, grilled chicken in tortilla, with lettuce, cheese, and ranch sauce",SR Legacy
"Fast foods, grilled chicken, bacon and tomato club sandwich, with cheese, lettuce, and mayonnaise",SR Legacy
"Fast foods, hamburger, large, single patty, with condiments",SR Legacy
"Fast foods, hamburger; double, large patty; with condiments, vegetables and mayonnaise",SR Legacy
"Fast foods, hamburger; single, large patty; with condiments, vegetables and mayonnaise",SR Legacy
"Fast foods, hamburger; single, regular patty; double decker bun with condiments and special sauce",SR Legacy
"Fast foods, hamburger; single, regular patty; plain",SR Legacy
"Fast foods, hamburger; single, regular patty; with condiments",SR Legacy
"Fast foods, hush puppies",SR Legacy
"Fast foods, miniature cinnamon rolls",SR Legacy
"Fast foods, nachos, with cheese",SR Legacy
"Fast foods, nachos, with cheese, beans, ground beef, and tomatoes",SR Legacy
"Fast foods, onion rings, breaded and fried",SR Legacy
"Fast foods, potato, french fried in vegetable oil",SR Legacy
"Fast foods, potato, mashed",SR Legacy
"Fast foods, potatoes, hash browns, round pieces or patty",SR Legacy
"Fast foods, quesadilla, with chicken",SR Legacy
"Fast foods, roast beef sandwich, plain",SR Legacy
"Fast foods, shrimp, breaded and fried",SR Legacy
"Fast foods, strawberry banana smoothie made with ice and low-fat yogurt",SR Legacy
"Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread",SR Legacy
"Fast foods, submarine sandwich, cold cut on white bread with lettuce and tomato",SR Legacy
"Fast foods, submarine sandwich, ham on white bread with lettuce and tomato",SR Legacy
"Fast foods, submarine sandwich, meatball marinara on white bread",SR Legacy
"Fast foods, submarine sandwich, oven roasted chicken on white bread with lettuce and tomato",SR Legacy
"Fast foods, submarine sandwich, roast beef on white bread with lettuce and tomato",SR Legacy
"Fast foods, submarine sandwich, steak and cheese on white bread with cheese, lettuce and tomato",SR Legacy
"Fast foods, submarine sandwich, sweet onion chicken teriyaki on white bread with lettuce, tomato and sweet onion sauce",SR Legacy
"Fast foods, submarine sandwich, tuna on white bread with lettuce and tomato",SR Legacy
"Fast foods, submarine sandwich, turkey breast on white bread with lettuce and tomato",SR Legacy
"Fast foods, submarine sandwich, turkey, roast beef and ham on white bread with lettuce and tomato",SR Legacy
"Fast foods, sundae, caramel",SR Legacy
"Fast foods, sundae, hot fudge",SR Legacy
"Fast foods, sundae, strawberry",SR Legacy
"Fast foods, taco with beef, cheese and lettuce, hard shell",SR Legacy
"Fast foods, taco with beef, cheese and lettuce, soft",SR Legacy
"Fast foods, taco with chicken, lettuce and cheese, soft",SR Legacy
"Fast foods, vanilla, light, soft-serve ice cream, with cone",SR Legacy
"Fat back, cooked",Survey (FNDDS)
"Fat free ice cream, no sugar added, flavors other than chocolate",SR Legacy
"Fat, beef tallow",SR Legacy
"Fat, chicken",SR Legacy
"Fat, goose",SR Legacy
"Fat, turkey",SR Legacy
"Fava beans, cooked",Survey (FNDDS)
"Feijoa, raw",SR Legacy
"Fennel bulb, cooked",Survey (FNDDS)
"Fennel bulb, raw",Survey (FNDDS)
"Fennel, bulb, raw",SR Legacy
"Fiddlehead ferns, frozen, unprepared",SR Legacy
"Fiddlehead ferns, raw",SR Legacy
"Fig, canned",Survey (FNDDS)
"Fig, dried",Survey (FNDDS)
"Fig, raw",Survey (FNDDS)
"Figs, canned, extra heavy syrup pack, solids and liquids",SR Legacy
"Figs, canned, heavy syrup pack, solids and liquids",SR Legacy
"Figs, canned, light syrup pack, solids and liquids",SR Legacy
"Figs, canned, water pack, solids and liquids",SR Legacy
"Figs, dried, stewed",SR Legacy
"Figs, dried, uncooked",Foundation
"Figs, dried, uncooked",SR Legacy
"Figs, raw",SR Legacy
"Fireweed, leaves, raw",SR Legacy
"Fireweed, young leaves, raw (Alaska Native)",SR Legacy
"Firni, Indian pudding",Survey (FNDDS)
