food_name,data_type
"APPLEBEE'S, Double Crunch Shrimp",SR Legacy
"APPLEBEE'S, fish, hand battered",SR Legacy
"APPLEBEE'S, french fries",SR Legacy
"APPLEBEE'S, KRAFT, Macaroni & Cheese, from kid's menu",SR Legacy
"APPLEBEE'S, mozzarella sticks",SR Legacy
"Apples, canned, sweetened, sliced, drained, heated",SR Legacy
"Apples, dehydrated (low moisture), sulfured, stewed",SR Legacy
"Apples, dehydrated (low moisture), sulfured, uncooked",SR Legacy
"Apples, dried, sulfured, stewed, with added sugar",SR Legacy
"Apples, dried, sulfured, stewed, without added sugar",SR Legacy
"Apples, dried, sulfured, uncooked",SR Legacy
"Apples, frozen, unsweetened, heated (Includes foods for USDA's Food Distribution Program)",SR Legacy
"Apples, frozen, unsweetened, unheated (Includes foods for USDA's Food Distribution Program)",SR Legacy
"Apples, fuji, with skin, raw",Foundation
"Apples, gala, with skin, raw",Foundation
"Apples, granny smith, with skin, raw",Foundation
"Apples, honeycrisp, with skin, raw",Foundation
"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",SR Legacy
"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",SR Legacy
"Apples, raw, golden delicious, with skin",SR Legacy
"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",SR Legacy
"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",SR Legacy
"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",SR Legacy
"Apples, raw, without skin",SR Legacy
"Apples, raw, without skin, cooked, boiled",SR Legacy
"Apples, raw, without skin, cooked, microwave",SR Legacy
"Apples, red delicious, with skin, raw",Foundation
"Applesauce, canned, sweetened, with salt",SR Legacy
"Applesauce, canned, sweetened, without salt",SR Legacy
"Applesauce, canned, unsweetened, with added ascorbic acid",SR Legacy
"Applesauce, canned, unsweetened, without added ascorbic acid (Includes foods for USDA's Food Distribution Program)",SR Legacy
"Applesauce, flavored",Survey (FNDDS)
"Applesauce, regular",Survey (FNDDS)
"Applesauce, unsweetened",Survey (FNDDS)
"Applesauce, unsweetened, with added vitamin C",Foundation
Apricot nectar,Survey (FNDDS)
"Apricot nectar, canned, with added ascorbic acid",SR Legacy
"Apricot, canned",Survey (FNDDS)
"Apricot, dried",Survey (FNDDS)
"Apricot, raw",Survey (FNDDS)
"Apricot, with skin, raw",Foundation
"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",SR Legacy
"Apricots, canned, extra light syrup pack, with skin, solids and liquids (Includes foods for USDA's Food Distribution Program)",SR Legacy
"Apricots, canned, heavy syrup pack, with skin, solids and liquids",SR Legacy
"Apricots, canned, heavy syrup pack, without skin, solids and liquids",SR Legacy
"Apricots, canned, heavy syrup, drained",SR Legacy
"Apricots, canned, juice pack, with skin, solids and liquids",SR Legacy
"Apricots, canned, light syrup pack, with skin, solids and liquids",SR Legacy
"Apricots, canned, water pack, with skin, solids and liquids",SR Legacy
"Apricots, canned, water pack, without skin, solids and liquids",SR Legacy
"Apricots, dehydrated (low-moisture), sulfured, stewed",SR Legacy
"Apricots, dehydrated (low-moisture), sulfured, uncooked",SR Legacy
"Apricots, dried, sulfured, stewed, with added sugar",SR Legacy
"Apricots, dried, sulfured, stewed, without added sugar",SR Legacy
"Apricots, dried, sulfured, uncooked",SR Legacy
"Apricots, frozen, sweetened",SR Legacy
"Apricots, raw",SR Legacy
"ARBY'S, roast beef sandwich, classic",SR Legacy
"Archway Home Style Cookies, Chocolate Chip Ice Box",SR Legacy
"Archway Home Style Cookies, Coconut Macaroon",SR Legacy
"Archway Home Style Cookies, Date Filled Oatmeal",SR Legacy
"Archway Home Style Cookies, Dutch Cocoa",SR Legacy
"Archway Home Style Cookies, Frosty Lemon",SR Legacy
"Archway Home Style Cookies, Iced Molasses",SR Legacy
"Archway Home Style Cookies, Iced Oatmeal",SR Legacy
"Archway Home Style Cookies, Molasses",SR Legacy
"Archway Home Style Cookies, Oatmeal",SR Legacy
"Archway Home Style Cookies, Oatmeal Raisin",SR Legacy
"Archway Home Style Cookies, Old Fashioned Molasses",SR Legacy
"Archway Home Style Cookies, Old Fashioned Windmill Cookies",SR Legacy
"Archway Home Style Cookies, Peanut Butter",SR Legacy
"Archway Home Style Cookies, Raspberry Filled",SR Legacy
"Archway Home Style Cookies, Reduced Fat Ginger Snaps",SR Legacy
"Archway Home Style Cookies, Strawberry Filled",SR Legacy
"Archway Home Style Cookies, Sugar Free Oatmeal",SR Legacy
Arepa Dominicana,Survey (FNDDS)
Armadillo,Survey (FNDDS)
"Arrowhead, cooked, boiled, drained, with salt",SR Legacy
"Arrowhead, cooked, boiled, drained, without salt",SR Legacy
"Arrowhead, raw",SR Legacy
Arrowroot flour,SR Legacy
"Arrowroot, raw",SR Legacy
Artichoke,Survey (FNDDS)
Artichoke dip,Survey (FNDDS)
"Artichokes, (globe or french), cooked, boiled, drained, with salt",SR Legacy
"Artichokes, (globe or french), cooked, boiled, drained, without salt",SR Legacy
"Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",SR Legacy
"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",SR Legacy
"Artichokes, (globe or french), frozen, unprepared",SR Legacy
"Artichokes, (globe or french), raw",SR Legacy
"Artichokes, stuffed",Survey (FNDDS)
"Artificial Blueberry Muffin Mix, dry",SR Legacy
"Arugula, baby, raw",Foundation
"Arugula, raw",SR Legacy
Ascidians (tunughnak) (Alaska Native),SR Legacy
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",Survey (FNDDS)
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",Survey (FNDDS)
"Asian stir fry vegetables, cooked, fat added",Survey (FNDDS)
"Asian stir fry vegetables, cooked, no added fat",Survey (FNDDS)
"Asparagus, canned, cooked with butter or margarine",Survey (FNDDS)
"Asparagus, canned, cooked with oil",Survey (FNDDS)
"Asparagus, canned, cooked, fat added, NS as to fat type",Survey (FNDDS)
"Asparagus, canned, cooked, no added fat",Survey (FNDDS)
"Asparagus, canned, drained solids",SR Legacy
"Asparagus, canned, no salt added, solids and liquids",SR Legacy
"Asparagus, canned, regular pack, solids and liquids",SR Legacy
"Asparagus, cooked, boiled, drained",SR Legacy
"Asparagus, cooked, boiled, drained, with salt",SR Legacy
"Asparagus, fresh, cooked with butter or margarine",Survey (FNDDS)
"Asparagus, fresh, cooked with oil",Survey (FNDDS)
"Asparagus, fresh, cooked, fat added, NS as to fat type",Survey (FNDDS)
"Asparagus, fresh, cooked, no added fat",Survey (FNDDS)
"Asparagus, frozen, cooked with butter or margarine",Survey (FNDDS)
"Asparagus, frozen, cooked with oil",Survey (FNDDS)
"Asparagus, frozen, cooked, boiled, drained, with salt",SR Legacy
"Asparagus, frozen, cooked, boiled, drained, without salt",SR Legacy
"Asparagus, frozen, cooked, fat added, NS as to fat type",Survey (FNDDS)
"Asparagus, frozen, cooked, no added fat",Survey (FNDDS)
"Asparagus, frozen, unprepared",SR Legacy
"Asparagus, green, raw",Foundation
"Asparagus, NS as to form, cooked",Survey (FNDDS)
"Asparagus, raw",SR Legacy
"Asparagus, raw",Survey (FNDDS)
Atole,Survey (FNDDS)
Atole de avena,Survey (FNDDS)
Atole de chocolate,Survey (FNDDS)
Avocado dressing,Survey (FNDDS)
"Avocado, for use on a sandwich",Survey (FNDDS)
"Avocado, Hass, peeled, raw",Foundation
"Avocado, raw",Survey (FNDDS)
"Avocados, raw, all commercial varieties",SR Legacy
"Avocados, raw, California",SR Legacy
"Avocados, raw, Florida",SR Legacy
"Baby Toddler apples, Stage 1",Survey (FNDDS)
"Baby Toddler apples, Stage 2",Survey (FNDDS)
"Baby Toddler bananas, Stage 1",Survey (FNDDS)
"Baby Toddler bananas, Stage 2",Survey (FNDDS)
Baby Toddler bar,Survey (FNDDS)
Baby Toddler beef,Survey (FNDDS)
Baby Toddler beets,Survey (FNDDS)
Baby Toddler biscuit,Survey (FNDDS)
"Baby Toddler carrots, Stage 1",Survey (FNDDS)
"Baby Toddler carrots, Stage 2",Survey (FNDDS)
"Baby Toddler cereal, barley, dry",Survey (FNDDS)
"Baby Toddler cereal, multigrain with fruit, dry",Survey (FNDDS)
"Baby Toddler cereal, multigrain with fruit, ready-to-eat",Survey (FNDDS)
"Baby Toddler cereal, multigrain, dry",Survey (FNDDS)
"Baby Toddler cereal, multigrain, ready-to-eat",Survey (FNDDS)
"Baby Toddler cereal, NFS",Survey (FNDDS)
"Baby Toddler cereal, oatmeal with fruit, dry",Survey (FNDDS)
"Baby Toddler cereal, oatmeal with fruit, ready-to-eat",Survey (FNDDS)
"Baby Toddler cereal, oatmeal, dry",Survey (FNDDS)
"Baby Toddler cereal, oatmeal, ready-to-eat",Survey (FNDDS)
"Baby Toddler cereal, rice with fruit, dry",Survey (FNDDS)
"Baby Toddler cereal, rice with fruit, ready-to-eat",Survey (FNDDS)
"Baby Toddler cereal, rice, dry",Survey (FNDDS)
"Baby Toddler cereal, rice, ready-to-eat",Survey (FNDDS)
Baby Toddler chicken,Survey (FNDDS)
Baby Toddler cookie,Survey (FNDDS)
Baby Toddler crackers,Survey (FNDDS)
Baby Toddler crunchies,Survey (FNDDS)
"Baby Toddler food, NFS",Survey (FNDDS)
Baby Toddler fruit and meat,Survey (FNDDS)
"Baby Toddler fruit and vegetables, Stage 2",Survey (FNDDS)
"Baby Toddler fruit and vegetables, Stage 3",Survey (FNDDS)
"Baby Toddler fruit and vegetables, with grain",Survey (FNDDS)
"Baby Toddler fruit and vegetables, with yogurt",Survey (FNDDS)
"Baby Toddler fruit, NFS",Survey (FNDDS)
